"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.707369708E0,-3.433347321E1,2.254986572E1,-1.224432373E1
3.717376708E0,-3.480110168E1,2.269824982E1,-1.123158264E1
3.727383708E0,-3.505761719E1,2.261900330E1,-1.049476624E1
3.737389708E0,-3.534523010E1,2.256369019E1,-1.025688171E1
3.747396708E0,-3.510455322E1,2.256475830E1,-1.041031647E1
3.757403708E0,-3.473458862E1,2.260276794E1,-1.102981567E1
3.767410708E0,-3.428749084E1,2.280634308E1,-1.184867096E1
3.777417708E0,-3.405760193E1,2.265377808E1,-1.229719543E1
3.787424708E0,-3.404863739E1,2.283599091E1,-1.298314667E1
3.797431708E0,-3.411782837E1,2.289879608E1,-1.324142456E1
3.807437708E0,-3.424183655E1,2.273474884E1,-1.359365845E1
3.817444708E0,-3.424213409E1,2.269079590E1,-1.361336517E1
3.827451708E0,-3.410840607E1,2.270313263E1,-1.390879822E1
3.837458708E0,-3.398889160E1,2.301087189E1,-1.359941864E1
3.847465708E0,-3.366632080E1,2.326078033E1,-1.350098419E1
3.857472708E0,-3.351304626E1,2.363836670E1,-1.299855042E1
3.867479708E0,-3.356711578E1,2.436410522E1,-1.203536987E1
3.877485708E0,-3.355928040E1,2.524388885E1,-1.074173737E1
3.887492708E0,-3.369999695E1,2.593940735E1,-8.718345642E0
3.897499708E0,-3.373418427E1,2.643559265E1,-7.228752136E0
3.907506708E0,-3.350563812E1,2.690083313E1,-5.361907959E0
3.917513708E0,-3.323871613E1,2.733647919E1,-3.379737854E0
3.927520708E0,-3.326744080E1,2.752419281E1,-2.677322388E0
3.937527708E0,-3.341638947E1,2.723705292E1,-1.678627014E0
3.947534708E0,-3.361978912E1,2.713778687E1,-1.761528015E0
3.957540708E0,-3.344564819E1,2.710572815E1,-1.995117188E0
3.967547708E0,-3.379930115E1,2.710968781E1,-2.124649048E0
3.977554708E0,-3.384984589E1,2.706211853E1,-2.040664673E0
3.987561708E0,-3.380487823E1,2.686639404E1,-2.457611084E0
3.997568708E0,-3.371047211E1,2.695383453E1,-2.412223816E0
4.007575708E0,-3.392827606E1,2.705959320E1,-2.917068481E0
4.017582708E0,-3.378149414E1,2.710929871E1,-2.697647095E0
4.027588708E0,-3.366386414E1,2.712723541E1,-2.893196106E0
4.037595708E0,-3.370615387E1,2.740908051E1,-2.348045349E0
4.047602708E0,-3.368156433E1,2.726651001E1,-1.855224609E0
